gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4765728582	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1023328565	Animalia	Chordata	Aves	Galliformes	Phasianidae	Coturnix	Coturnix coturnix		SPECIES	Coturnix coturnix (Linnaeus, 1758)	Coturnix coturnix		BD	Padma River & Chars (Rajshahi)	Rajshahi bibhag	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	24.32766	88.642586							2020-12-04	4	12	2020	2474156	2474156	HUMAN_OBSERVATION	CLO	EBIRD	OBS1023328565				CC_BY_4_0		obsr1290081			2024-04-17T10:02:25.676Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4652975394	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1835370419	Animalia	Chordata	Aves	Galliformes	Phasianidae	Polyplectron	Polyplectron bicalcaratum		SPECIES	Polyplectron bicalcaratum (Linnaeus, 1758)	Polyplectron bicalcaratum		BD	Kaptai NP	Chittagong bibhag	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	22.502884	92.20181							2010-04-09	9	4	2010	2474079	2474079	HUMAN_OBSERVATION	CLO	EBIRD	OBS1835370419				CC_BY_4_0		obsr1938974			2024-04-17T08:43:13.710Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4304986606	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1622333361	Animalia	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus		SPECIES	Gallus gallus (Linnaeus, 1758)	Gallus gallus		BD	Shahbazpur	Sylhet bibhag	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	24.808863	92.26447							2020-12-09	9	12	2020	9326020	9326020	HUMAN_OBSERVATION	CLO	EBIRD	OBS1622333361				CC_BY_4_0		obsr3033791			2024-04-17T08:42:22.867Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4271098940	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1611682579	Animalia	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus		SPECIES	Gallus gallus (Linnaeus, 1758)	Gallus gallus		BD	Satchari NP	Sylhet bibhag	PRESENT	4	e2e717bf-551a-4917-bdc9-4fa0f342c530	24.125654	91.446106							2020-11-25	25	11	2020	9326020	9326020	HUMAN_OBSERVATION	CLO	EBIRD	OBS1611682579				CC_BY_4_0		obsr1217936			2024-04-17T08:59:11.836Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4258275343	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1611682564	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lophura	Lophura leucomelanos		SPECIES	Lophura leucomelanos (Latham, 1790)	Lophura leucomelanos		BD	Satchari NP	Sylhet bibhag	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	24.125654	91.446106							2020-11-25	25	11	2020	5227993	5227993	HUMAN_OBSERVATION	CLO	EBIRD	OBS1611682564				CC_BY_4_0		obsr1217936			2024-04-17T08:38:42.897Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3687436670	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1241369878	Animalia	Chordata	Aves	Galliformes	Phasianidae	Arborophila	Arborophila atrogularis		SPECIES	Arborophila atrogularis (Blyth, 1849)	Arborophila atrogularis		BD	Satchari NP	Sylhet bibhag	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	24.125654	91.446106							2010-04-02	2	4	2010	2473649	2473649	HUMAN_OBSERVATION	CLO	EBIRD	OBS1241369878				CC_BY_4_0		obsr820065			2024-04-17T08:33:55.771Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3654269034	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1256206241	Animalia	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus		SPECIES	Gallus gallus (Linnaeus, 1758)	Gallus gallus		BD	Nillkomol/Hiron Point, Sundarban, Khulna	Khulna bibhag	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	21.82186	89.44229							2020-03-19	19	3	2020	9326020	9326020	HUMAN_OBSERVATION	CLO	EBIRD	OBS1256206241				CC_BY_4_0		obsr2077317			2024-04-17T10:02:39.955Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3649820108	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1239514563	Animalia	Chordata	Aves	Galliformes	Phasianidae	Lophura	Lophura leucomelanos		SPECIES	Lophura leucomelanos (Latham, 1790)	Lophura leucomelanos		BD	New Rangamati Road, Kaptai National Park, Chittagong Division, BD (22.511, 92.205)	Chittagong bibhag	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	22.510864	92.20504							2010-05-21	21	5	2010	5227993	5227993	HUMAN_OBSERVATION	CLO	EBIRD	OBS1239514563				CC_BY_4_0		obsr2077317			2024-04-17T08:36:53.105Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3644782614	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1239514570	Animalia	Chordata	Aves	Galliformes	Phasianidae	Gallus	Gallus gallus		SPECIES	Gallus gallus (Linnaeus, 1758)	Gallus gallus		BD	New Rangamati Road, Kaptai National Park, Chittagong Division, BD (22.511, 92.205)	Chittagong bibhag	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	22.510864	92.20504							2010-05-21	21	5	2010	9326020	9326020	HUMAN_OBSERVATION	CLO	EBIRD	OBS1239514570				CC_BY_4_0		obsr2077317			2024-04-17T10:00:56.112Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3643513296	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1153994468	Animalia	Chordata	Aves	Galliformes	Phasianidae	Francolinus	Francolinus francolinus		SPECIES	Francolinus francolinus (Linnaeus, 1766)	Francolinus francolinus		BD	Chorai Beel - Rohonpur  (Chapai Nawabgonj)	Rajshahi bibhag	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	24.870546	88.30227							2020-02-10	10	2	2020	5227919	5227919	HUMAN_OBSERVATION	CLO	EBIRD	OBS1153994468				CC_BY_4_0		obsr1504168			2024-04-17T08:54:25.580Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
