gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
576395333	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS99099606	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Alcedo	Alcedo atthis		SPECIES	Alcedo atthis (Linnaeus, 1758)	Alcedo atthis		IE	Trim--Castle & River Boyne walkway	Leinster	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	53.555325	-6.789591							2010-09-17	17	9	2010	2475532	2475532	HUMAN_OBSERVATION	CLO	EBIRD	OBS99099606				CC_BY_4_0		obsr223754			2024-04-17T09:49:36.615Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
576271355	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS99099426	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Alcedo	Alcedo atthis		SPECIES	Alcedo atthis (Linnaeus, 1758)	Alcedo atthis		IE	National Botanic Gardens	Leinster	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	53.37387	-6.274095							2010-09-15	15	9	2010	2475532	2475532	HUMAN_OBSERVATION	CLO	EBIRD	OBS99099426				CC_BY_4_0		obsr223754			2024-04-17T08:44:24.720Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4845312612	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1901506993	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Alcedo	Alcedo atthis		SPECIES	Alcedo atthis (Linnaeus, 1758)	Alcedo atthis		IE	Kilbogget Park	Leinster	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	53.260227	-6.142634							2010-11-22	22	11	2010	2475532	2475532	HUMAN_OBSERVATION	CLO	EBIRD	OBS1901506993				CC_BY_4_0		obsr4570427			2024-04-17T08:42:24.771Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4843203259	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1898197717	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Alcedo	Alcedo atthis		SPECIES	Alcedo atthis (Linnaeus, 1758)	Alcedo atthis		IE	North Bull Island NR--general area	Leinster	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	53.37239	-6.15706							2010-01-12	12	1	2010	2475532	2475532	HUMAN_OBSERVATION	CLO	EBIRD	OBS1898197717				CC_BY_4_0		obsr4570427			2024-04-17T08:42:21.529Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4838836976	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1760739780	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Alcedo	Alcedo atthis		SPECIES	Alcedo atthis (Linnaeus, 1758)	Alcedo atthis		IE	Dunboy	Munster	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	51.635098	-9.932992							2020-12-05	5	12	2020	2475532	2475532	HUMAN_OBSERVATION	CLO	EBIRD	OBS1760739780				CC_BY_4_0		obsr3542376			2024-04-17T09:26:00.285Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4835327047	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1953062768	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Alcedo	Alcedo atthis		SPECIES	Alcedo atthis (Linnaeus, 1758)	Alcedo atthis		IE	River Dodder (Ringsend to Ballsbridge)	Leinster	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	53.34156	-6.228638							2010-07-28	28	7	2010	2475532	2475532	HUMAN_OBSERVATION	CLO	EBIRD	OBS1953062768				CC_BY_4_0		obsr4570427			2024-04-17T09:02:13.648Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4835109988	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1915707483	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Alcedo	Alcedo atthis		SPECIES	Alcedo atthis (Linnaeus, 1758)	Alcedo atthis		IE	Swords Estuary & Broadmeadows	Leinster	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	53.462345	-6.189118							2010-02-20	20	2	2010	2475532	2475532	HUMAN_OBSERVATION	CLO	EBIRD	OBS1915707483				CC_BY_4_0		obsr4570427			2024-04-17T09:06:49.079Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4832267417	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1760739779	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Megaceryle	Megaceryle alcyon		SPECIES	Megaceryle alcyon (Linnaeus, 1758)	Megaceryle alcyon		IE	Dunboy	Munster	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	51.635098	-9.932992							2020-12-05	5	12	2020	2475472	2475472	HUMAN_OBSERVATION	CLO	EBIRD	OBS1760739779				CC_BY_4_0		obsr3542376			2024-04-17T09:26:01.410Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4829272287	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1902120807	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Alcedo	Alcedo atthis		SPECIES	Alcedo atthis (Linnaeus, 1758)	Alcedo atthis		IE	North Bull Island NR--general area	Leinster	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	53.37239	-6.15706							2010-12-21	21	12	2010	2475532	2475532	HUMAN_OBSERVATION	CLO	EBIRD	OBS1902120807				CC_BY_4_0		obsr4570427			2024-04-17T09:29:36.207Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4815978060	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1899926484	Animalia	Chordata	Aves	Coraciiformes	Alcedinidae	Alcedo	Alcedo atthis		SPECIES	Alcedo atthis (Linnaeus, 1758)	Alcedo atthis		IE	River Dodder (Ringsend to Ballsbridge)	Leinster	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	53.34156	-6.228638							2010-08-10	10	8	2010	2475532	2475532	HUMAN_OBSERVATION	CLO	EBIRD	OBS1899926484				CC_BY_4_0		obsr4570427			2024-04-17T08:42:27.051Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
