gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4728916529	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1805947046	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Jabiru	Jabiru mycteria		SPECIES	Jabiru mycteria (Lichtenstein, 1819)	Jabiru mycteria		PY	Mbaracayú--Lagunita	Canindeyú	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-24.135641	-55.43018							2020-07-07	7	7	2020	2481953	2481953	HUMAN_OBSERVATION	CLO	EBIRD	OBS1805947046				CC_BY_4_0		obsr2775505			2024-04-17T09:25:43.834Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4367477132	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1431406074	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	Ciconia maguari		SPECIES	Ciconia maguari (Gmelin, 1789)	Ciconia maguari		PY	Bahia de Asuncion	Asunción	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-25.272524	-57.633053							2020-10-15	15	10	2020	2481910	2481910	HUMAN_OBSERVATION	CLO	EBIRD	OBS1431406074				CC_BY_4_0		obsr2684353			2024-04-17T08:35:39.696Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4355702988	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1610413295	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Jabiru	Jabiru mycteria		SPECIES	Jabiru mycteria (Lichtenstein, 1819)	Jabiru mycteria		PY	Arroyo Tagatiya, Concepción (Campos Cerrados)	Concepción	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-22.733334	-57.55							2000-10-02	2	10	2000	2481953	2481953	HUMAN_OBSERVATION	CLO	EBIRD	OBS1610413295				CC_BY_4_0		obsr246085			2024-04-17T08:37:16.156Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4235983088	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1610413296	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	Ciconia maguari		SPECIES	Ciconia maguari (Gmelin, 1789)	Ciconia maguari		PY	Arroyo Tagatiya, Concepción (Campos Cerrados)	Concepción	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-22.733334	-57.55							2000-10-02	2	10	2000	2481910	2481910	HUMAN_OBSERVATION	CLO	EBIRD	OBS1610413296				CC_BY_4_0		obsr246085			2024-04-17T08:38:50.972Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
4193253119	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1431406106	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	Ciconia maguari		SPECIES	Ciconia maguari (Gmelin, 1789)	Ciconia maguari		PY	Avenida Costanera Norte, Asunción PY-Central Department -25.26473, -57.60888	Asunción	PRESENT	12	e2e717bf-551a-4917-bdc9-4fa0f342c530	-25.26473	-57.608887							2020-09-29	29	9	2020	2481910	2481910	HUMAN_OBSERVATION	CLO	EBIRD	OBS1431406106				CC_BY_4_0		obsr2684353			2024-04-17T08:37:28.531Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3695095238	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1311998938	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	Ciconia maguari		SPECIES	Ciconia maguari (Gmelin, 1789)	Ciconia maguari		PY	Campo María, Dpto. Pte. Hayes. (Alto Chaco)	Presidente Hayes	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-22.569	-59.33956							2000-09-29	29	9	2000	2481910	2481910	HUMAN_OBSERVATION	CLO	EBIRD	OBS1311998938				CC_BY_4_0		obsr430326			2024-04-17T08:58:39.563Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3694374211	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1311998937	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Mycteria	Mycteria americana		SPECIES	Mycteria americana Linnaeus, 1758	Mycteria americana		PY	Campo María, Dpto. Pte. Hayes. (Alto Chaco)	Presidente Hayes	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-22.569	-59.33956							2000-09-29	29	9	2000	2481937	2481937	HUMAN_OBSERVATION	CLO	EBIRD	OBS1311998937				CC_BY_4_0		obsr430326			2024-04-17T08:57:50.251Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3576229388	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1219004468	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Mycteria	Mycteria americana		SPECIES	Mycteria americana Linnaeus, 1758	Mycteria americana		PY	Unnamed Road, Ñeembucú, PY (-26.981, -58.35)	Ñeembucú	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-26.980862	-58.35043							2020-12-31	31	12	2020	2481937	2481937	HUMAN_OBSERVATION	CLO	EBIRD	OBS1219004468				CC_BY_4_0		obsr2142778			2024-04-17T08:58:25.739Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3572542622	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1219004461	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	Ciconia maguari		SPECIES	Ciconia maguari (Gmelin, 1789)	Ciconia maguari		PY	Unnamed Road, Ñeembucú, PY (-26.981, -58.35)	Ñeembucú	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-26.980862	-58.35043							2020-12-31	31	12	2020	2481910	2481910	HUMAN_OBSERVATION	CLO	EBIRD	OBS1219004461				CC_BY_4_0		obsr2142778			2024-04-17T08:57:31.452Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3301236478	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1040358365	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Jabiru	Jabiru mycteria		SPECIES	Jabiru mycteria (Lichtenstein, 1819)	Jabiru mycteria		PY	Arroyos y Esteros, camino a Juan de Mena	Cordillera	PRESENT	2	e2e717bf-551a-4917-bdc9-4fa0f342c530	-24.916302	-56.858932							2020-12-31	31	12	2020	2481953	2481953	HUMAN_OBSERVATION	CLO	EBIRD	OBS1040358365				CC_BY_4_0		obsr540111			2024-04-17T09:18:55.709Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3301184968	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1037764875	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Mycteria	Mycteria americana		SPECIES	Mycteria americana Linnaeus, 1758	Mycteria americana		PY	Camino a Villa Franca	Ñeembucú	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-26.216928	-58.056362							2020-06-11	11	6	2020	2481937	2481937	HUMAN_OBSERVATION	CLO	EBIRD	OBS1037764875				CC_BY_4_0		obsr1200120			2024-04-17T09:59:37.669Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3300881136	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS997896666	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	Ciconia maguari		SPECIES	Ciconia maguari (Gmelin, 1789)	Ciconia maguari		PY	Estancia San Juan	Itapúa	PRESENT	60	e2e717bf-551a-4917-bdc9-4fa0f342c530	-26.8925	-56.225204							2020-10-17	17	10	2020	2481910	2481910	HUMAN_OBSERVATION	CLO	EBIRD	OBS997896666				CC_BY_4_0		obsr1675383			2024-04-17T08:52:29.744Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3300784312	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS1008675272	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	Ciconia maguari		SPECIES	Ciconia maguari (Gmelin, 1789)	Ciconia maguari		PY	Asunción--Lagunas Banco San Miguel	Asunción	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-25.267828	-57.612606							2020-11-07	7	11	2020	2481910	2481910	HUMAN_OBSERVATION	CLO	EBIRD	OBS1008675272				CC_BY_4_0		obsr1200120			2024-04-17T09:59:41.948Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3300751688	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS990809174	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	Ciconia maguari		SPECIES	Ciconia maguari (Gmelin, 1789)	Ciconia maguari		PY	Asunción--Lagunas Banco San Miguel	Asunción	PRESENT	40	e2e717bf-551a-4917-bdc9-4fa0f342c530	-25.267828	-57.612606							2020-10-04	4	10	2020	2481910	2481910	HUMAN_OBSERVATION	CLO	EBIRD	OBS990809174				CC_BY_4_0		obsr1200120			2024-04-17T09:17:13.911Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
3300716033	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS988079200	Animalia	Chordata	Aves	Ciconiiformes	Ciconiidae	Ciconia	Ciconia maguari		SPECIES	Ciconia maguari (Gmelin, 1789)	Ciconia maguari		PY	Zona Ribera Carmelo Peralta, Alto Paraguay, PY (-21,79, -57,947)	Alto Paraguay	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-21.79015	-57.947155							2020-09-27	27	9	2020	2481910	2481910	HUMAN_OBSERVATION	CLO	EBIRD	OBS988079200				CC_BY_4_0		obsr1451874			2024-04-17T09:16:54.035Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
