gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
979332039	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS238413197	Animalia	Chordata	Aves	Galliformes	Numididae	Numida	Numida meleagris		SPECIES	Numida meleagris (Linnaeus, 1758)	Numida meleagris		TZ	Serengeti NP (Mara and Shinyanga Provinces)	Mara	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.461279	34.683838							2010-02-06	6	2	2010	2473341	2473341	HUMAN_OBSERVATION	CLO	EBIRD	OBS238413197				CC_BY_4_0		obsr499304			2024-04-17T09:52:05.996Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979331835	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS238413222	Animalia	Chordata	Aves	Galliformes	Phasianidae	Pternistis	Pternistis rufopictus		SPECIES	Pternistis rufopictus Reichenow, 1887	Pternistis rufopictus		TZ	Serengeti NP (Mara and Shinyanga Provinces)	Mara	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.461279	34.683838							2010-02-06	6	2	2010	2473863	2473863	HUMAN_OBSERVATION	CLO	EBIRD	OBS238413222				CC_BY_4_0		obsr499304			2024-04-17T09:05:08.462Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979327451	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS238400725	Animalia	Chordata	Aves	Galliformes	Numididae	Numida	Numida meleagris		SPECIES	Numida meleagris (Linnaeus, 1758)	Numida meleagris		TZ	Serengeti NP (Mara and Shinyanga Provinces)	Mara	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.461279	34.683838							2010-02-06	6	2	2010	2473341	2473341	HUMAN_OBSERVATION	CLO	EBIRD	OBS238400725				CC_BY_4_0		obsr93981			2024-04-17T08:48:53.207Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979327407	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS238400750	Animalia	Chordata	Aves	Galliformes	Phasianidae	Pternistis	Pternistis rufopictus		SPECIES	Pternistis rufopictus Reichenow, 1887	Pternistis rufopictus		TZ	Serengeti NP (Mara and Shinyanga Provinces)	Mara	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.461279	34.683838							2010-02-06	6	2	2010	2473863	2473863	HUMAN_OBSERVATION	CLO	EBIRD	OBS238400750				CC_BY_4_0		obsr93981			2024-04-17T09:04:20.668Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979280916	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS238452013	Animalia	Chordata	Aves	Galliformes	Numididae	Numida	Numida meleagris		SPECIES	Numida meleagris (Linnaeus, 1758)	Numida meleagris		TZ	Serengeti NP (Mara and Shinyanga Provinces)	Mara	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.461279	34.683838							2010-02-06	6	2	2010	2473341	2473341	HUMAN_OBSERVATION	CLO	EBIRD	OBS238452013				CC_BY_4_0		obsr292557			2024-04-17T08:24:42.903Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
979280877	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS238452038	Animalia	Chordata	Aves	Galliformes	Phasianidae	Pternistis	Pternistis rufopictus		SPECIES	Pternistis rufopictus Reichenow, 1887	Pternistis rufopictus		TZ	Serengeti NP (Mara and Shinyanga Provinces)	Mara	PRESENT	1	e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.461279	34.683838							2010-02-06	6	2	2010	2473863	2473863	HUMAN_OBSERVATION	CLO	EBIRD	OBS238452038				CC_BY_4_0		obsr292557			2024-04-17T09:51:14.379Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
974319966	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD_CAN:OBS220942283	Animalia	Chordata	Aves	Galliformes	Numididae	Numida	Numida meleagris		SPECIES	Numida meleagris (Linnaeus, 1758)	Numida meleagris		TZ	Ngorongoro Conservation Area--Ngorongoro Crater	Arusha	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-3.173425	35.564117							2000-01-12	12	1	2000	2473341	2473341	HUMAN_OBSERVATION	CLO	EBIRD_CAN	OBS220942283				CC_BY_4_0		obsr171139			2024-04-17T09:05:13.357Z		COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
970038862	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS215678363	Animalia	Chordata	Aves	Galliformes	Numididae	Numida	Numida meleagris		SPECIES	Numida meleagris (Linnaeus, 1758)	Numida meleagris		TZ	Serengeti NP (Mara and Shinyanga Provinces)	Mara	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.461279	34.683838							2010-12-13	13	12	2010	2473341	2473341	HUMAN_OBSERVATION	CLO	EBIRD	OBS215678363				CC_BY_4_0		obsr416530			2024-04-17T09:08:07.863Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
970036449	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS215678364	Animalia	Chordata	Aves	Galliformes	Phasianidae	Campocolinus	Campocolinus coqui		SPECIES	Campocolinus coqui (A.Smith, 1836)	Campocolinus coqui		TZ	Serengeti NP (Mara and Shinyanga Provinces)	Mara	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.461279	34.683838							2010-12-13	13	12	2010	11251051	11251051	HUMAN_OBSERVATION	CLO	EBIRD	OBS215678364				CC_BY_4_0		obsr416530			2024-04-17T09:07:52.629Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
970036346	4fa7b334-ce0d-4e88-aaae-2e0c138d049e	URN:catalog:CLO:EBIRD:OBS215678287	Animalia	Chordata	Aves	Galliformes	Numididae	Numida	Numida meleagris		SPECIES	Numida meleagris (Linnaeus, 1758)	Numida meleagris		TZ	Serengeti NP (Mara and Shinyanga Provinces)	Mara	PRESENT		e2e717bf-551a-4917-bdc9-4fa0f342c530	-2.461279	34.683838							2010-12-12	12	12	2010	2473341	2473341	HUMAN_OBSERVATION	CLO	EBIRD	OBS215678287				CC_BY_4_0		obsr416530			2024-04-17T09:05:10.122Z		CONTINENT_DERIVED_FROM_COORDINATES;TAXON_MATCH_TAXON_CONCEPT_ID_IGNORED
